0612,saint nicolas
1000,brussel
1000,brussels
1000,bruxelles
1000,bruxelles 1
1005,assemblee reunie de la commission communautaire
1006,raad van de vlaamse gemeenschapscommissie
1007,assemblee de la commission communautaire francaise
1008,chambre des representants
1009,senat de belgique
1011,vlaams parlement
1012,parlement de la communaute francaise
1020,brussel 2
1020,bruxelles 2
1020,laeken
1030,brussel 3
1030,bruxelles 3
1030,schaarbeek
1030,schaerbeek
1031,organisations sociales chretiennes
1033,rtl tvi
1035,ministere de la region de bruxelles capitale
1040,brussel 4
1040,bruxelles 4
1040,etterbeek
1041,international press center
1043,vrt
1044,rtbf
1046,european external action service
1047,parlement europeen
1048,union europeenne conseil
1049,union europeenne commission
1050,brussel 5
1050,bruxelles 5
1050,elsene
1050,ixelles
1060,brussel 6
1060,bruxelles 6
1060,saint gilles
1060,sint gillis
1070,anderlecht
1070,brussel 7
1070,bruxelles 7
1080,brussel 8
1080,bruxelles 8
1080,molenbeek saint jean
1080,sint agatha berchem
1080,sint jans molenbeek
1081,koekelberg
1082,berchem sainte agathe
1083,ganshoren
1090,brussel 9
1090,bruxelles 9
1090,jette
1099,bruxelles x
1100,postcheque
1101,scanning
1105,soc
1110,otan
1120,brussel 12
1120,bruxelles 12
1120,neder over heembeek
1130,brussel 13
1130,bruxelles 13
1130,haren
1140,brussel 14
1140,bruxelles 14
1140,evere
1150,brussel 15
1150,bruxelles 15
1150,sint pieters woluwe
1150,woluwe saint pierre
1160,auderghem
1160,brussel 16
1160,bruxelles 16
1160,oudergem
1170,brussel 17
1170,bruxelles 17
1170,watermaal bosvoorde
1170,watermael boitsfort
1180,brussel 18
1180,bruxelles 18
1180,uccle
1180,ukkel
1190,brussel 19
1190,bruxelles 19
1190,forest
1190,vorst
1200,brussel 20
1200,bruxelles 20
1200,sint lambrechts woluwe
1200,woluwe saint lambert
1210,brussel 21
1210,bruxelles 21
1210,saint josse ten noode
1210,sint joost ten node
1212,spf mobilite
1300,limal
1300,wavre
1301,bierges
1310,la hulpe
1315,glimes
1315,incourt
1315,opprebais
1315,pietrebais
1315,roux miroir
1320,beauvechain
1320,hamme mille
1320,l ecluse
1320,nodebais
1320,tourinnes la grosse
1325,bonlez
1325,chaumont gistoux
1325,corroy le grand
1325,dion valmont
1325,longueville
1330,rixensart
1331,rosieres
1332,genval
1340,ottignies
1340,ottignies louvain la neuve
1341,ceroux mousty
1342,limelette
1348,louvain la neuve
1350,enines
1350,folx les caves
1350,jandrain jandrenouille
1350,jauche
1350,marilles
1350,noduwez
1350,orp jauche
1350,orp le grand
1357,helecine
1357,linsmeau
1357,neerheylissem
1357,opheylissem
1360,maleves sainte marie wastines
1360,maleves ste marie wastines
1360,orbais
1360,perwez
1360,thorembais les beguines
1360,thorembais saint trond
1367,autre eglise
1367,bomal
1367,bomal bt 
1367,geest gerompont petit rosiere
1367,geest gerompont pt rosiere
1367,gerompont
1367,grand rosiere hottomont
1367,huppaye
1367,mont saint andre
1367,ramillies
1370,dongelberg
1370,jauchelette
1370,jodoigne
1370,jodoigne souveraine
1370,lathuy
1370,melin
1370,pietrain
1370,saint jean geest
1370,saint remy geest
1370,zetrud lumay
1380,couture saint germain
1380,lasne
1380,lasne chapelle saint lambert
1380,lasne chapelle st lambert
1380,maransart
1380,ohain
1380,plancenoit
1390,archennes
1390,biez
1390,bossut gottechain
1390,grez doiceau
1390,nethen
1400,monstreux
1400,nivelles
1401,baulers
1402,thines
1404,bornival
1410,waterloo
1420,braine l alleud
1421,ophain bois seigneur isaac
1428,lillois witterzee
1430,bierghes
1430,quenast
1430,rebecq
1430,rebecq rognon
1435,corbais
1435,hevillers
1435,mont saint guibert
1440,braine le chateau
1440,wauthier braine
1450,chastre
1450,chastre villeroux blanmont
1450,cortil noirmont
1450,gentinnes
1450,saint gery
1457,nil saint vincent saint martin
1457,nil st vincent st martin
1457,tourinnes saint lambert
1457,walhain
1457,walhain saint paul
1460,ittre
1460,virginal samme
1461,haut ittre
1470,baisy thy
1470,bousval
1470,genappe
1471,loupoigne
1472,vieux genappe
1473,glabais
1474,ways
1476,houtain le val
1480,clabecq
1480,oisquercq
1480,saintes
1480,tubize
1490,court saint etienne
1495,marbais
1495,marbais bt 
1495,mellery
1495,sart dames avelines
1495,tilly
1495,villers la ville
1500,halle
1501,buizingen
1502,lembeek
1540,herfelingen
1540,herne
1541,sint pieters kapelle
1541,sint pieters kapelle bt 
1547,bever
1547,bievene
1560,hoeilaart
1570,galmaarden
1570,tollembeek
1570,vollezele
1600,oudenaken
1600,sint laureins berchem
1600,sint pieters leeuw
1601,ruisbroek
